,Name,experiment,activation_1,architecture,batch_size,dataset,volume,date_range,lookback,dropout,learning_rate,rsme,mape,loss,epoch,Runtime
100,upbeat-bush-32,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0031575517089145,562.6869920123319,3.87118282885244,0.0012340650428086,100,361
101,cerulean-voice-31,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0031725272790101,85.5279305633408,2.683379943156127,0.0010112737072631,100,360
108,apricot-elevator-24,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0066669043621425,313.4728752102018,2.841474537239609,0.0011064951540902,100,436
91,devoted-field-42,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.0011106969786332,298.19603944787,3.7933157598998815,0.0013741601724177,100,447
92,logical-feather-41,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.0022330826755887,199.75238228699556,3.1515321843278405,0.0010775406844913,100,412
93,vague-totem-40,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.0082947246912287,1116.3422128993834,6.159595981083451,0.0009584642830304,100,577
94,cool-sun-39,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.0035631407489613,300.2616048906951,2.99879815403152,0.0009843332227319,100,460
95,zesty-waterfall-38,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.009393800072099,449.60608183856505,3.270587607690885,0.0008569828351028,100,449
96,snowy-gorge-37,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,50d,0.1,0.0094977085429692,980.1896370515695,5.36710621588377,0.0011630066437646,100,861
85,clean-bird-48,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0076021996455706,646.0035208800448,4.129794491049573,0.0009243210079148,100,455
86,azure-eon-47,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0011453704213186,116.95929091928252,3.778604007614723,0.0016272860812023,100,505
87,vivid-gorge-46,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0067538662305116,586.4405742012332,3.79075470731077,0.0009496684069745,100,837
88,zesty-music-45,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0084644040480721,32.041817019338566,2.379619465646315,0.0012518734438344,100,550
89,usual-cloud-44,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0025034753927341,526.1731975196188,3.982566484867252,0.0013880612095817,100,467
90,summer-moon-43,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,60d,0.1,0.0052078307190638,700.8478489349776,4.476345071827903,0.0013639735989272,100,572
37,wandering-planet-102,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0028527637659421,31.56398204607046,2.791894488326224,0.0006843659211881,100,604
38,copper-morning-101,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0035263267910945,1868.5875201134825,7.144443431053686,0.0009812437929213,100,390
39,fresh-waterfall-100,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0088733410984214,3306.01244389397,12.276240635773988,0.0007658054237253,100,226
40,charmed-haze-99,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0014933262709144,454.7564204352981,3.373435817678593,0.0007248460897244,100,523
41,comic-flower-98,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0074063309197911,879.4693084137873,3.66560132150483,0.0007492823060601,100,371
42,dulcet-shape-96,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,05d,0.1,0.0012685308103964,458.9825515540312,4.041589207390018,0.0007776748389005,100,878
31,worldly-wood-109,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0049106086993176,636.1073954098916,3.182723223985684,0.0004826083313673,100,299
32,zesty-music-108,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0022017776354147,1864.4806804708671,7.138182910970868,0.0005485659930855,100,244
33,scarlet-firefly-107,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0034267677639635,482.79685382791325,2.985895910639641,0.0004806833749171,100,265
34,efficient-butterfly-105,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0095360227200098,485.9641133130081,2.810575033585798,0.000470909231808,100,235
35,driven-pine-104,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0085596210384197,7.527592522018971,2.3934244906908853,0.0004775171983055,100,250
36,denim-cherry-103,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,10d,0.1,0.0051149204644052,1022.8825002117208,4.240055223659003,0.0005582151352427,100,255
25,balmy-shape-115,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0017693991594982,469.9580475101626,3.2315181271114977,0.0004837505985051,100,494
26,curious-rain-114,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0025807219895672,1104.2720666073849,4.609695896555581,0.0005641158204525,100,491
27,amber-moon-113,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0058861210851282,196.2312362381436,2.9546668182343505,0.0004803114279638,100,361
28,wild-universe-112,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0011664475077902,100.54491128895664,3.6285026685389847,0.0006156611489132,100,355
29,dandy-breeze-111,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0059710228487282,754.5458693258807,3.5549456591968807,0.0004873004509136,100,452
30,valiant-sponge-110,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,20d,0.1,0.0042865026341524,456.51654069275065,2.796325991172812,0.000500556139741,100,380
19,rare-dragon-122,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0048154355790831,329.1950504954268,2.721818705943236,0.0005588579224422,100,557
20,blooming-dawn-121,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0074062540956782,206.06336011602303,2.545128209803788,0.0005091236089356,100,487
21,breezy-aardvark-120,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0070112382988886,766.6495702066395,3.494159009016132,0.000528989592567,100,500
22,charmed-wood-119,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0086448820882731,79.94817337821816,2.477709485419504,0.0006105934735387,100,738
23,charmed-tree-118,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0082299913616175,202.5335974551152,3.0740083355504244,0.0006359624094329,100,469
24,ancient-frost-117,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,30d,0.1,0.0086375183003729,571.512430661416,3.0934230590672587,0.0005044923746027,100,477
12,legendary-eon-130,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0068199735330621,1294.3453855436992,5.581878934100717,0.0004377703589852,100,706
13,sage-aardvark-128,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0085849822089478,54.057286373644985,2.446545330978146,0.0005511948256753,100,801
14,cosmic-deluge-127,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0089364256600347,818.400655276084,3.871358361267104,0.0004531582526396,100,2593
15,solar-forest-126,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0078599436795899,480.3733882748984,2.9248325600211937,0.0007297102129086,100,615
16,summer-planet-125,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0059367465334098,684.8235359502032,3.620847780104102,0.000404076941777,100,687
17,different-frost-124,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0044273337497264,93.29590373052169,2.633108749359294,0.0004870780103374,100,662
18,noble-puddle-123,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,40d,0.1,0.0060771102778018,165.86134665057588,2.5380488674466344,0.0006218320922926,100,636
6,balmy-rain-136,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.0011943380874352,184.326751460874,3.5400640305777067,0.000857048376929,100,732
7,stilted-wildflower-135,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.0076173788476715,277.75095803692415,2.769349434270716,0.0006984639330767,100,783
8,worldly-plasma-134,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.0053377426318152,432.96619876355015,2.9399371283474545,0.0005048714810982,100,753
9,smooth-terrain-133,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.0072782772550174,406.01365334942415,2.8758672105117022,0.0005142439040355,100,769
10,morning-salad-132,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.002733094954063,1159.0166253810976,4.696990078136766,0.000636687153019,100,847
11,desert-morning-131,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,50d,0.1,0.0091945233790216,644.4779307461043,3.060341327814528,0.0004435404844116,100,773
0,devout-blaze-143,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0055367689632862,265.5432519266599,2.93405450094036,0.0005512615898624,100,771
1,rosy-capybara-142,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0069565442350168,438.9366478235095,3.3441647044792084,0.0005421676905825,100,811
2,earthy-feather-141,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0021676781250346,227.33703050897697,2.9367739485696087,0.0004938744823448,100,1006
3,stilted-valley-140,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0080268069237218,198.67032943766932,2.5561657183400666,0.000539370754268,100,1391
4,robust-tree-139,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0021224096058846,39.93702362804878,2.751509224427796,0.0004681923310272,100,994
5,atomic-spaceship-137,effect-size-ds,tanh,LSTM,64,BTC-USD,5y,2018-2023,60d,0.1,0.0067771746277897,1282.2773966802167,5.517846927888545,0.0004839695466216,100,1025
