Name;experiment;size-dataset;date_range;lookback;dropout;learning_rate;RSME;MAPE;mae;loss;epoch;Runtime;State;Notes;User;Tags;Created;Sweep;activation_1;architecture_name;batch_size;dataset_name;loss_function;best_epoch;best_val_loss;val_loss;val_mae
dark-dew-54;effect-size-ds;1y;2022-2023;05d;0,1;0,008514532;1316,238231;8,386708407;0,032640267;0,002147746;100;95;finished;-;sal-souzasa;;2023-09-12T23:52:21.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309875680;309883936;17525,07227
good-snowball-53;effect-size-ds;1y;2022-2023;05d;0,1;0,005014756;750,5823864;6,051025262;0,034525078;0,002333564;100;94;finished;-;sal-souzasa;;2023-09-12T23:50:13.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309871776;309884576;17525,0918
worldly-puddle-52;effect-size-ds;1y;2022-2023;05d;0,1;0,009147943;965,5345982;6,591140588;0,032699548;0,001960743;100;97;finished;-;sal-souzasa;;2023-09-12T23:47:57.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309876544;309884352;17525,08398
giddy-donkey-51;effect-size-ds;1y;2022-2023;05d;0,1;0,005454681;934,4737723;6,934146501;0,03267647;0,002090829;100;111;finished;-;sal-souzasa;;2023-09-12T23:37:50.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309870816;309884416;17525,08398
clean-bird-48;effect-size-ds;3y;2020-2023;60d;0,1;0,0076022;646,0035209;4,129794491;0,022543335;0,000924321;100;455;finished;-;sal-souzasa;;2023-09-12T21:39:23.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392556640;392561152;19687,12109
azure-eon-47;effect-size-ds;3y;2020-2023;60d;0,1;0,00114537;116,9592909;3,778604008;0,028852198;0,001627286;100;505;finished;-;sal-souzasa;;2023-09-12T21:30:03.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392559232;392561536;19687,13086
vivid-gorge-46;effect-size-ds;3y;2020-2023;60d;0,1;0,006753866;586,4405742;3,790754707;0,023221681;0,000949668;100;837;finished;-;sal-souzasa;;2023-09-12T21:15:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;66;392560480;392561184;19687,12305
zesty-music-45;effect-size-ds;3y;2020-2023;60d;0,1;0,008464404;32,04181702;2,379619466;0,026809789;0,001251873;100;550;finished;-;sal-souzasa;;2023-09-12T21:05:24.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;21;392560480;392561568;19687,13281
usual-cloud-44;effect-size-ds;3y;2020-2023;60d;0,1;0,002503475;526,1731975;3,982566485;0,027053308;0,001388061;100;467;finished;-;sal-souzasa;;2023-09-12T20:56:57.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392556096;392561280;19687,12305
summer-moon-43;effect-size-ds;3y;2020-2023;60d;0,1;0,005207831;700,8478489;4,476345072;0,027331116;0,001363974;100;572;finished;-;sal-souzasa;;2023-09-12T20:46:26.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;2;392558752;392562048;19687,14258
devoted-field-42;effect-size-ds;3y;2020-2023;50d;0,1;0,001110697;298,1960394;3,79331576;0,026492352;0,00137416;100;447;finished;-;sal-souzasa;;2023-09-12T20:37:42.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392557024;392561376;19687,125
logical-feather-41;effect-size-ds;3y;2020-2023;50d;0,1;0,002233083;199,7523823;3,151532184;0,024137884;0,001077541;100;412;finished;-;sal-souzasa;;2023-09-12T20:30:08.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392556000;392561440;19687,12695
vague-totem-40;effect-size-ds;3y;2020-2023;50d;0,1;0,008294725;1116,342213;6,159595981;0,023334047;0,000958464;100;577;finished;-;sal-souzasa;;2023-09-12T20:16:00.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;40;392560544;392562272;19687,15039
cool-sun-39;effect-size-ds;3y;2020-2023;50d;0,1;0,003563141;300,2616049;2,998798154;0,023716694;0,000984333;100;460;finished;-;sal-souzasa;;2023-09-12T20:07:33.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392559168;392561408;19687,12695
zesty-waterfall-38;effect-size-ds;3y;2020-2023;50d;0,1;0,0093938;449,6060818;3,270587608;0,02167833;0,000856983;100;449;finished;-;sal-souzasa;;2023-09-12T19:59:26.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392560320;392561344;19687,125
snowy-gorge-37;effect-size-ds;3y;2020-2023;50d;0,1;0,009497709;980,1896371;5,367106216;0,025677178;0,001163007;100;861;finished;-;sal-souzasa;;2023-09-12T19:42:29.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;94;392560704;392560960;19687,11719
gallant-lion-35;effect-size-ds;3y;2020-2023;40d;0,1;0,001220675;404,3295614;3,781180822;0,02493928;0,001253509;100;413;finished;-;sal-souzasa;;2023-09-12T19:28:14.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;392558720;392561312;19687,125
gallant-wave-34;effect-size-ds;3y;2020-2023;40d;0,1;0,009381288;208,2877706;2,640570679;0,023228444;0,00099185;100;344;finished;-;sal-souzasa;;2023-09-12T19:19:27.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392559904;392561440;19687,13086
trim-rain-33;effect-size-ds;3y;2020-2023;40d;0,1;0,008743947;9,448631937;2,314537234;0,022341745;0,000945911;100;383;finished;-;sal-souzasa;;2023-09-12T19:11:34.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;392559904;392561600;19687,13281
