"Name","experiment","size-dataset","date_range","lookback","dropout","learning_rate","RSME","MAPE","mae","loss","epoch","Runtime","State","Notes","User","Tags","Created","Sweep","activation_1","architecture","batch_size","dataset","loss_function","best_epoch","best_val_loss","val_loss","val_mae"
"eager-forest-71","effect-size-ds","1y","2022-2023","30d","0.1","0.008317297244506678","816.0804332386364","6.036374784833313","0.03309773653745651","0.002049695234745741","100","161","finished","-","sal-souzasa","","2023-09-13T01:23:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309878976","309884544","17525.087890625"
"fanciful-deluge-70","effect-size-ds","1y","2022-2023","30d","0.1","0.0072333932497381905","880.6284496753246","6.366183139442118","0.032551493495702744","0.002014739206060767","100","244","finished","-","sal-souzasa","","2023-09-13T01:18:45.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309883616","309884448","17525.087890625"
"desert-capybara-69","effect-size-ds","1y","2022-2023","20d","0.1","0.007793254014066469","990.0055803571428","6.746499773798888","0.03175964578986168","0.0019382016034796832","100","307","finished","-","sal-souzasa","","2023-09-13T01:12:03.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","7","309883520","309884320","17525.08203125"
"rosy-sun-68","effect-size-ds","1y","2022-2023","20d","0.1","0.007961813425209852","769.7283380681819","5.551781139847779","0.03003094717860222","0.0017553195357322693","100","503","finished","-","sal-souzasa","","2023-09-13T01:02:37.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","10","309883840","309884576","17525.091796875"
"lyric-yogurt-67","effect-size-ds","1y","2022-2023","20d","0.1","0.008932789274388873","860.3757609577922","5.9819526936562495","0.03296557813882828","0.002080863108858466","100","355","finished","-","sal-souzasa","","2023-09-13T00:56:09.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","7","309882720","309884448","17525.087890625"
"exalted-disco-66","effect-size-ds","1y","2022-2023","20d","0.1","0.001182586727553659","918.8380428165584","7.243839987043129","0.04383118823170662","0.0036820753011852503","100","183","finished","-","sal-souzasa","","2023-09-13T00:47:20.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309877280","309884416","17525.0859375"
"peach-fog-65","effect-size-ds","1y","2022-2023","20d","0.1","0.005799982139719215","351.00684862012986","3.8983749701239856","0.03511914238333702","0.002307615242898464","100","523","finished","-","sal-souzasa","","2023-09-13T00:38:02.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","58","309883968","309885056","17525.103515625"
"warm-surf-64","effect-size-ds","1y","2022-2023","20d","0.1","0.007329676306854342","413.67895190746754","3.884944838336503","0.031363680958747864","0.0018285029800608752","100","140","finished","-","sal-souzasa","","2023-09-13T00:35:14.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309883200","309884960","17525.1015625"
"wandering-energy-63","effect-size-ds","1y","2022-2023","10d","0.1","0.0060510200029899154","581.3898640422078","4.739713872353694","0.035987261682748795","0.0023618079721927643","100","106","finished","-","sal-souzasa","","2023-09-13T00:32:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309881920","309884768","17525.09375"
"peach-smoke-62","effect-size-ds","1y","2022-2023","10d","0.1","0.0017522114978980351","879.6025010146104","7.451243213512623","0.042113687843084335","0.0033780348021537066","100","155","finished","-","sal-souzasa","","2023-09-13T00:29:18.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309874240","309884480","17525.087890625"
"whole-fire-61","effect-size-ds","1y","2022-2023","10d","0.1","0.007626943535903043","1068.4647930194806","7.102186962914843","0.03616243228316307","0.0022771679796278477","100","168","finished","-","sal-souzasa","","2023-09-13T00:25:59.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","3","309883360","309884224","17525.080078125"
"confused-voice-60","effect-size-ds","1y","2022-2023","10d","0.1","0.002203252426589514","877.5497412743506","7.083831129395511","0.04193735495209694","0.0032714982517063618","100","157","finished","-","sal-souzasa","","2023-09-13T00:12:28.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309877504","309884480","17525.087890625"
"pleasant-firebrand-58","effect-size-ds","1y","2022-2023","10d","0.1","0.00666177413834876","721.3494571834416","5.333962185920018","0.03169945254921913","0.0019331419607624412","100","104","finished","-","sal-souzasa","","2023-09-13T00:01:51.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309883552","309884608","17525.091796875"
"denim-resonance-57","effect-size-ds","1y","2022-2023","10d","0.1","0.002898888169605901","771.357218952922","6.248653251203645","0.0385122112929821","0.002826422220095992","100","107","finished","-","sal-souzasa","","2023-09-12T23:59:20.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309875424","309884608","17525.08984375"
"clean-snowflake-56","effect-size-ds","1y","2022-2023","05d","0.1","0.004115269459132919","827.9010247564935","6.5438733412264245","0.0348421148955822","0.002279970096424222","100","96","finished","-","sal-souzasa","","2023-09-12T23:56:40.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309872256","309884544","17525.08984375"
"woven-durian-55","effect-size-ds","1y","2022-2023","05d","0.1","0.008656929585518806","625.0100953733767","4.89757982206293","0.031725797802209854","0.0019220307003706696","100","96","finished","-","sal-souzasa","","2023-09-12T23:54:30.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309873632","309884704","17525.09375"
"dark-dew-54","effect-size-ds","1y","2022-2023","05d","0.1","0.008514532377039826","1316.2382305194806","8.386708407207449","0.03264026716351509","0.002147745806723833","100","95","finished","-","sal-souzasa","","2023-09-12T23:52:21.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309875680","309883936","17525.072265625"
"good-snowball-53","effect-size-ds","1y","2022-2023","05d","0.1","0.005014755992026685","750.5823863636364","6.051025262094608","0.034525077790021896","0.002333564218133688","100","94","finished","-","sal-souzasa","","2023-09-12T23:50:13.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309871776","309884576","17525.091796875"
"worldly-puddle-52","effect-size-ds","1y","2022-2023","05d","0.1","0.009147942904598557","965.5345982142856","6.591140588275082","0.032699547708034515","0.001960742985829711","100","97","finished","-","sal-souzasa","","2023-09-12T23:47:57.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309876544","309884352","17525.083984375"
"giddy-donkey-51","effect-size-ds","1y","2022-2023","05d","0.1","0.005454681440300432","934.4737723214286","6.934146500503786","0.032676469534635544","0.002090828726068139","100","111","finished","-","sal-souzasa","","2023-09-12T23:37:50.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309870816","309884416","17525.083984375"
"clean-bird-48","effect-size-ds","3y","2020-2023","60d","0.1","0.007602199645570697","646.0035208800448","4.129794491049573","0.02254333533346653","0.0009243210079148412","100","455","finished","-","sal-souzasa","","2023-09-12T21:39:23.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392556640","392561152","19687.12109375"
"azure-eon-47","effect-size-ds","3y","2020-2023","60d","0.1","0.0011453704213186151","116.95929091928252","3.778604007614723","0.028852198272943497","0.0016272860812023282","100","505","finished","-","sal-souzasa","","2023-09-12T21:30:03.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392559232","392561536","19687.130859375"
"vivid-gorge-46","effect-size-ds","3y","2020-2023","60d","0.1","0.006753866230511663","586.4405742012332","3.79075470731077","0.023221680894494057","0.0009496684069745244","100","837","finished","-","sal-souzasa","","2023-09-12T21:15:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","66","392560480","392561184","19687.123046875"
"zesty-music-45","effect-size-ds","3y","2020-2023","60d","0.1","0.008464404048072121","32.041817019338566","2.379619465646315","0.02680978924036026","0.0012518734438344836","100","550","finished","-","sal-souzasa","","2023-09-12T21:05:24.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","21","392560480","392561568","19687.1328125"
"usual-cloud-44","effect-size-ds","3y","2020-2023","60d","0.1","0.0025034753927341584","526.1731975196188","3.982566484867252","0.027053307741880417","0.0013880612095817924","100","467","finished","-","sal-souzasa","","2023-09-12T20:56:57.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","392556096","392561280","19687.123046875"
"summer-moon-43","effect-size-ds","3y","2020-2023","60d","0.1","0.00520783071906385","700.8478489349776","4.476345071827903","0.027331115677952766","0.0013639735989272594","100","572","finished","-","sal-souzasa","","2023-09-12T20:46:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","392558752","392562048","19687.142578125"
"devoted-field-42","effect-size-ds","3y","2020-2023","50d","0.1","0.0011106969786332","298.19603944786996","3.7933157598998823","0.026492351666092873","0.00137416017241776","100","447","finished","-","sal-souzasa","","2023-09-12T20:37:42.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","392557024","392561376","19687.125"
